,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,9,2,0,7.213446262551441,0.5091578364372253,10.109195249853952,5.147175981537114,11.724562264734548,7.624990117210669,2,10.875827351759536,5.5375127238866835,3,[1000.]
1,maxcut,9,502,0,969.6202271734115,0.5,1371.2500756199202,685.6250378099601,843.8166259321499,737.1399895120791,7,700.69175007418,690.9157719860432,3,[12.50434561]
2,maxcut,9,1002,0,1930.6822175910024,0.5,2730.396976749759,1365.1984883748794,1607.852167635579,1445.2440890847924,9,1378.7909626593494,1369.48545981776,2,[8.18057125]
3,maxcut,9,1502,0,2891.7413920583394,0.5,4089.5398955245573,2044.7699477622787,2357.3944190242287,2158.496758983696,11,2058.7543447270614,2049.0927715275275,2,[8.69495935]
4,maxcut,9,2002,0,3852.7998589994263,0.5,5448.681813706137,2724.3409068530686,3098.403920487936,2857.283554041695,12,2740.7965085533347,2729.6284185562454,3,[15.58864017]
5,maxcut,9,2502,0,4813.858042360768,0.5,6807.823330845396,3403.911665422698,3834.323324796129,3557.331775475753,13,3422.6288256426055,3410.4567359694847,6,[35.45340956]
6,maxcut,9,3002,0,5774.916083773759,0.5,8166.9646472393715,4083.4823236196858,4566.5608669232315,4258.684216190029,14,4099.952073467219,4088.843642509392,3,[16.32071231]
7,maxcut,9,3502,0,6735.9740440151145,0.5,9526.10584883932,4763.05292441966,5295.204442330922,4938.728983651324,14,4779.7582426421795,4768.395700073697,3,[16.71740414]
8,maxcut,9,4002,0,7697.031953498671,0.5,10885.2469786569,5442.62348932845,6021.517372903658,5641.385262010754,15,5457.5182621676095,5447.029031333245,2,[9.94256542]
9,maxcut,9,4502,0,8658.089829131088,0.5,12244.38806060174,6122.19403030087,6746.337028756027,6345.381127742208,16,6139.142900794912,6127.540496006155,3,[17.27993442]
10,maxcut,9,5002,0,9619.147681060891,0.5,13603.52910902602,6801.76455451301,7468.781483818972,7025.312637470158,16,6819.505009732694,6807.05426690047,3,[17.66705383]
11,maxcut,9,5502,0,10580.205515748485,0.5,14962.670133066134,7481.335066533067,8190.115326777827,7730.655311144458,17,7499.448249817884,7486.613536372713,3,[17.91455495]
